反復回数,回転角度θ（度）,スケールs,目的関数値J,勾配ノルム,∂J/∂θ,∂J/∂s
653,4.135138122858086,1.0890997179808304,875894.5,28801849861.64235,-3338686463.641388,-28607686522.158432
654,4.142334538643895,1.0892366224157255,875762.5,28941148930.06271,-3287485684.573597,-28753826515.19261
655,4.1495997151373265,1.089373494312571,875297.0,28915931577.09599,-3341040612.8624973,-28722265693.961197
656,4.1568729545580885,1.089510398607426,875114.0,28921947687.859303,-3345017727.898511,-28727859552.345955
657,4.164122053828532,1.0896478094247328,874530.0,29030231403.31846,-3317405413.8626604,-28840061661.69365
658,4.1714174280085965,1.089785345125077,874105.5,29031983145.630745,-3343462990.852417,-28838815866.761726
659,4.178677544320012,1.0899227645715042,874124.5,29027479614.10314,-3324629734.365691,-28836459732.022324
660,4.186000320439446,1.0900602653739027,874751.0,29028357485.89075,-3375089197.38235,-28831481252.935696
661,4.19335155386365,1.0901978280191797,874416.5,29003722188.995354,-3378633131.7413073,-28806262148.663464
662,4.2006999555729365,1.09033548253907,875024.5,29025499504.409836,-3363970160.2012386,-28829903333.895714
663,4.2080108627886075,1.0904729734333767,873871.0,29003405999.992954,-3337237641.0093737,-28810768898.588207
664,4.215372453059268,1.0906107107501564,874274.5,29025861296.509262,-3352467776.5783806,-28831607374.740623
665,4.2227241727418665,1.0907485070615934,873286.0,29046392149.6085,-3354055812.4139347,-28852091891.508503
666,4.23006629807958,1.0908860442742796,872846.5,28998635355.318813,-3370995141.497574,-28802035418.121857
667,4.23750123619231,1.0910238876005793,873011.0,28986670112.424732,-3414536633.8735905,-28784856848.392914
668,4.244888166938,1.091162041478765,873181.5,29032764518.200855,-3380738129.0520754,-28835256636.14035
669,4.25223923591194,1.0913004202395562,872955.5,29028727732.50683,-3358252406.9835443,-28833819978.265114
670,4.259595780645429,1.0914388518510505,871872.0,29044889622.910633,-3355341317.4042273,-28850429768.909542
671,4.266968740336609,1.091577250809132,871645.0,29027545966.9773,-3365443881.2283115,-28831791695.05917
672,4.27434495146447,1.0917156995443646,871721.0,29042624288.103287,-3365696028.0818872,-28846942919.250225
673,4.281787459993743,1.0918545306806382,870831.5,29080445939.546562,-3393992725.3763123,-28881709600.07359
674,4.289201194289079,1.0919935183481302,871352.5,29107057886.56803,-3364672960.272172,-28911931700.985245
675,4.2966076850311685,1.0921328432087305,870898.0,29123750488.831585,-3376459033.756461,-28927363635.99494
676,4.303965121584799,1.092272634143726,870459.0,29229321121.00598,-3336041027.0140276,-29038320258.94345
677,4.311251292016545,1.092412410806659,870350.0,29232426126.66135,-3275039058.3560457,-29048388189.65616
678,4.318467046487475,1.0925521319533418,869771.5,29248449248.611443,-3232209196.8586254,-29069306960.37217
679,4.3256817887856345,1.0926918261358618,869761.5,29232089729.342518,-3212876454.944708,-29054990876.432816
680,4.332943918293905,1.092831594005253,869872.0,29219504166.13374,-3237262515.625781,-29039620436.907074
681,4.3402533173816105,1.0929715236847524,869881.0,29216099512.19926,-3285548117.904231,-29030770645.500713
682,4.3475907098355995,1.0931125823846197,869445.5,29417296628.634243,-3300382424.3891315,-29231572259.96985
683,4.354939923055836,1.0932536394600187,869162.5,29399028183.778862,-3295462865.227788,-29213743044.233967
684,4.3623394139468905,1.093394748388307,869126.0,29396447908.286243,-3329423540.7522755,-29207295124.863434
685,4.369706690914644,1.0935358475927133,869200.0,29380727487.62887,-3289340064.048396,-29196016674.28892
686,4.377067824367228,1.0936770185868503,867938.5,29379269387.367805,-3280497691.9683037,-29195544259.84413
687,4.384510993593177,1.0938181492515808,867862.5,29334290750.378445,-3343529431.886036,-29143119681.424812
688,4.391962922690445,1.0939591097374297,867189.0,29289322567.91726,-3347334607.86522,-29097418571.249496
689,4.399429402719378,1.0940999916924874,866744.5,29268812348.13822,-3358012570.530074,-29075541746.40071
