反復回数,回転角度θ（度）,スケールs,目的関数値J,勾配ノルム,∂J/∂θ,∂J/∂s
200,19.434864276226683,1.3525437647143614,692688.5,1721027268.1410837,-201128848.91209036,-1709234344.3251014
201,19.571180138375688,1.3549407294618745,689033.5,1754081293.7392452,-175127626.6906597,-1745317019.7461665
202,19.706828724421474,1.3573834748491274,684264.0,1798327160.0939536,-155817888.17141962,-1791563942.6091895
203,19.84497921831974,1.3598660557634392,680891.0,1798950323.2712243,-157054067.9792404,-1792081550.970495
204,19.981522063981295,1.3623592791715278,675770.0,1811538427.5755584,-154156050.8135868,-1804967419.811362
205,20.11889970911599,1.364892659212187,672287.0,1827024366.023695,-145761351.8571959,-1821200610.1330647
206,20.258878168774807,1.3674515865907833,668448.5,1827821268.372942,-168949616.73063347,-1819996323.1070118
207,20.40019925438046,1.3700606890704121,664788.5,1840295292.7937188,-158476721.4883046,-1833458996.9304025
208,20.541371939032754,1.372689202159507,664300.0,1848014246.6885164,-151801378.77268708,-1841768985.884613
209,20.68419900928337,1.375357916532599,656971.5,1842385531.8678784,-144638468.0707907,-1836699257.2520468
210,20.825935928824382,1.378056524436166,655009.0,1867512435.6663363,-129496757.9212277,-1863017253.5584052
211,20.965288952518303,1.3807549410276878,647999.0,1863592837.6259437,-107073028.78155014,-1860514345.8082397
212,21.10615066745681,1.383475329175848,643783.5,1856111055.697214,-120445497.64241937,-1852198999.3462083
213,21.254498608464054,1.3862498964551146,636789.5,1824719819.7901611,-167406704.8479131,-1817024330.0261564
214,21.40391347042636,1.3890032104070311,635872.5,1771814580.581104,-206116026.91890785,-1759784956.0122275
215,21.55324033620282,1.3917892512107837,631133.0,1786894522.6659462,-202944807.3399863,-1775332487.256203
216,21.706049983625643,1.394690310792101,623379.5,1858753832.7980175,-187929145.4545391,-1849229149.4647295
217,21.85950084501066,1.3976179531745059,616300.0,1859740767.673149,-181499683.6189874,-1850862930.5790641
218,22.01373317625038,1.4005681173966595,610768.0,1854280827.7131991,-185017418.47716546,-1845027355.5925376
219,22.16745544797819,1.4035954256094054,605191.5,1915253347.556126,-137090421.35912567,-1910340703.0413513
220,22.32143253529024,1.4066532166304648,603162.0,1926175570.5496955,-135832236.57151562,-1921380215.389558
221,22.479743749328915,1.4097660892139416,596248.5,1922431629.2781498,-160494373.01857078,-1915720471.6446545
222,22.636871485489042,1.4128754321342,591039.5,1911940948.7511237,-155639279.72064805,-1905595604.0354903
223,22.792226297701866,1.4160305736275398,584727.0,1944832555.2043188,-121700186.31796809,-1941021054.093111
224,22.950384009596437,1.419269256194106,582280.0,1999309692.4282248,-119417400.57677639,-1995740146.080378
225,23.109582775542442,1.4225457265311763,578706.0,2005537230.5764008,-110074875.51153043,-2002514195.9569676
226,23.27019019949514,1.4258609400563442,573428.0,2014746216.0226293,-117365151.77075997,-2011324870.8568513
227,23.432397668180492,1.4292615059332503,569814.5,2068769341.3734233,-90977347.06959939,-2066767938.1408076
228,23.599027459100576,1.4327274890489734,563679.0,2066482613.9813137,-102655449.42001918,-2063931261.5955546
