反復回数,∂J/∂θ,∂J/∂s,目的関数J
168,-704139028.8589127,-1561006098.5399914,802034.5
169,-681444406.8685794,-1552852414.2046065,804435.0
170,-681864380.325463,-1568057012.9269013,807448.0
171,-671916498.8548563,-1572696898.2043357,804477.0
172,-670236357.9091365,-1568711226.0684266,802914.5
173,-653118638.3587322,-1567497860.4113364,801993.0
174,-649088941.1849122,-1542196028.3529751,805447.5
175,-620313849.4375639,-1543306310.455686,801792.0
176,-616837062.1189262,-1532775958.934237,799876.5
177,-632840261.7690963,-1530732550.6455808,799807.0
178,-639182795.6700425,-1499533885.5759857,798026.0
179,-623285092.8101953,-1496040989.006766,798040.0
180,-629142943.5322605,-1453335641.1649756,796488.5
181,-628232496.6706027,-1458539014.5266237,795702.0
182,-620651654.5093343,-1470010589.7449102,792358.0
183,-628130122.9349251,-1464524481.9399512,790510.5
184,-639072479.8672432,-1444943828.2434115,791486.5
185,-626224081.2503495,-1443833949.2945201,789329.0
186,-620915291.8684998,-1431930911.0047755,786288.0
187,-618223857.6196557,-1443069156.9596646,783537.5
188,-619962487.1676626,-1442757663.7376306,782364.0
189,-618299205.3238893,-1454163621.9852781,781212.5
190,-599586874.6935086,-1435960852.9068713,780143.5
191,-611709183.8242651,-1412230711.6986103,781702.0
192,-603593464.1560159,-1428323796.9180622,781640.0
193,-602939762.2289147,-1433088269.5946085,782011.0
194,-607901704.5574046,-1428750676.478425,781619.5
195,-602916710.0285356,-1397786898.1492627,781670.5
196,-598152653.8804362,-1378509908.5740485,780428.5
197,-596696482.8871069,-1370596123.5605812,780167.5
198,-585913201.535429,-1406084885.2413454,781996.0
199,-573766995.5168865,-1418511260.7168155,781048.0
200,-546582663.018817,-1418358425.4384096,777470.0
201,-558060074.7818892,-1404999611.6634793,781173.5
202,-536741565.7424832,-1364475989.9747403,780496.5
203,-536278746.6194756,-1358237854.7150836,782938.0
204,-506643426.34578806,-1366012018.7173471,783516.5
205,-519281135.9962317,-1355249460.3664024,785633.0
206,-511392450.2374433,-1338588698.0463092,786494.0
207,-502383523.6006961,-1331486689.0065162,784749.5
208,-459064957.4476618,-1347495153.3665662,782883.5
209,-426409307.22697586,-1320582492.719851,783397.0
210,-431577156.3757428,-1322885006.7068808,787923.5
211,-419787591.2053138,-1333542804.8012514,786271.0
212,-405477678.6860697,-1312584958.5931127,787758.5
213,-417433071.1563457,-1296179592.8260617,788913.0
214,-395720936.9033082,-1286324860.080532,788330.5
215,-381903872.64748335,-1267695308.7338047,789508.0
216,-372807372.2055399,-1264872552.4289536,789491.5
217,-373256640.43293446,-1251168528.4298282,790016.5
218,-342022773.4084867,-1257244724.0259955,789796.0
219,-336345082.49523914,-1242545779.4849422,789179.5
220,-342271074.5537386,-1236022938.773384,787453.5
221,-347166393.04937494,-1243723022.6138592,786074.0
222,-347580138.69834757,-1228050528.7884874,787754.0
223,-324252925.5805906,-1232625521.3088403,788519.5
224,-304073343.79600674,-1231917012.942431,786733.5
225,-270769805.0771376,-1257140303.1792955,789354.0
226,-275333004.219926,-1243112182.2706125,787852.0
227,-284005920.5540447,-1225329129.3873076,789000.0
228,-274559016.0266118,-1251452009.267516,788056.0
229,-257143264.81530654,-1245915913.5360994,789309.0
230,-232597631.76144806,-1233338322.931776,786603.0
231,-189638998.34083268,-1257717503.3074064,787124.0
232,-171201929.68644053,-1257645371.5750034,785558.5
233,-143322503.75113207,-1282355802.2274137,786713.5
234,-115121144.63504946,-1285183715.6822367,787176.0
235,-108844818.85319203,-1293309343.648,787095.0
236,-95139291.77568102,-1294383633.019409,787723.5
237,-90857365.78959835,-1305740223.0998971,787335.0
238,-79984218.99599588,-1317600730.4476547,788429.5
239,-74571966.37226224,-1318360002.5453453,787346.5
240,-78715595.70738995,-1306428067.5213869,789789.5
241,-78107443.21246266,-1299222520.5664907,790905.0
242,-54375379.575064,-1299417088.1932487,790577.5
243,-62875393.04680604,-1274059663.7466366,790591.0
244,-51283211.65873754,-1278216474.4828246,791781.0
245,-34475998.13328266,-1264530039.2687397,792240.0
246,-44805512.24013084,-1248111100.637689,793322.0
247,-41477875.498282135,-1253040124.1503654,792613.5
248,-47863231.51976788,-1240036088.5992973,793985.0
249,-51629763.56157303,-1232233899.922501,793882.0
250,-58023521.40935403,-1224913871.1259494,794043.0
